,0
0,-0.9089896
1,-10.674933
2,-8.042722
3,1.4330246
4,10.043901
5,-4.491075
6,1.9973161
7,-4.138043
8,6.542985
9,-1.9163482
10,1.2788498
11,-14.72103
12,1.6256504
13,0.17611979
14,4.1008687
15,-10.802497
16,4.3325863
17,9.367955
18,-6.508476
19,-4.245416
20,0.095287606
21,-4.547709
22,-3.1554513
23,5.7045417
24,0.12645583
25,5.2483954
26,-10.940796
27,-0.47207952
28,13.23567
29,-2.4004748
30,0.6099797
31,0.18941705
32,-4.7430797
33,-8.960107
34,10.242007
35,6.998225
36,-14.082251
37,-2.7623198
38,5.7338905
39,13.278151
40,0.23548584
41,-6.861028
42,5.930306
43,-4.8650136
44,1.011389
45,-4.9029727
46,1.0659128
47,-13.296451
48,1.8226292
49,0.611281
50,10.097386
51,0.40340883
52,-5.020959
53,-2.3714583
54,-4.833923
55,-2.4071538
56,1.292076
57,4.7154965
58,5.190528
59,-0.073148206
60,0.22825442
61,-1.7830012
62,5.4194856
63,10.858853
64,-5.468682
65,6.8419113
66,0.6560696
67,-1.5874803
68,4.4449077
69,-6.7097793
70,-4.591912
71,-1.2030437
72,-3.924552
73,-4.931578
74,5.6906886
75,-1.5351894
76,-3.545151
77,-12.5393305
78,-2.8939235
79,1.8542793
80,2.0471632
81,4.368434
82,5.478644
83,-4.0525937
84,-3.7668002
85,6.817326
86,-0.8976676
87,-4.715195
88,-3.7599561
89,-4.6369557
90,-10.900485
91,0.5369809
92,-1.179582
93,0.4701619
94,-4.149494
95,-2.8897545
96,1.6628606
97,0.091361806
98,0.3098927
99,6.8120975
